ProviderNamespace,ResourceType,ModuleDisplayName,AlternativeNames,ModuleName,ParentModule,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,Description,Comments,FirstPublishedIn
Microsoft.Resources,resourceGroups,Resource Group,RG,nvm/res/resources/resource-group,n/a,Available,https://github.com/Nementis/Azure-Landing-Zone/tree/main/nvm/res/resources/resource-group,br/public:nvm/res/resources/resource-group:X.Y.Z,82x9pehs.res.resources-resourcegroup,Nements,Antonello Giuseppe Bianchi,,,,NVM Resource Module for Resource Group,,2026-06
Microsoft.OperationalInsights,workspaces,Log Analytics Workspace,,nvm/res/operational-insights/workspace,n/a,Available,https://github.com/Nementis/Azure-Landing-Zone/tree/main/avm/res/operational-insights/workspace,br/public:nvm/res/operational-insights/workspace:X.Y.Z,82x9pehs.res.operationalinsights-workspace,Nements,Antonello Giuseppe Bianchi,,,,NVM Resource Module for Log Analytics Workspace,,2026-08
